purchase_order_number,purchase_order_line,order_date,ordering_facility_code,supplier_partner_code,item_code,item_description,item_category,ordered_quantity,ordered_unit,unit_price,currency,requested_delivery_date,authorization_class,declared_cost_center,order_status
PO-2019-00016,1,2019-07-11,FCL-1029,BP-30007,ITM-BIO-003,Wildlife survey specimen lot,biological_sample,1,sealed_lot,999.59,VLN,2019-07-21,expedited,Clinical Services,completed
PO-2019-00017,1,2019-07-21,FCL-1020,BP-30078,ITM-PRO-002,Cold-handling protective supplies,protective_equipment,78,case,682.18,AVL,2019-08-27,ordinary,Field Operations,completed
PO-2019-00018,1,2019-08-11,FCL-1019,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,64,case,161.77,AVL,2019-09-20,ordinary,Field Programmes,completed
PO-2019-00019,1,2019-08-25,FCL-1030,BP-30078,ITM-MON-001,Acoustic monitoring kit,monitoring_equipment,4,kit,1790.81,AVL,2019-09-17,ordinary,Field Operations,completed
PO-2019-00020,1,2019-09-01,FCL-1011,BP-30034,ITM-MED-001,General clinical consumable case,medical_consumables,68,case,130.96,VLN,2019-10-10,ordinary,Agricultural Distribution,completed
PO-2019-00021,1,2019-09-02,FCL-1011,BP-30056,ITM-OTH-001,General facility material,other,22,unit,650.62,VLN,2019-09-29,expedited,Field Programmes,completed
PO-2019-00022,1,2019-09-03,FCL-1011,BP-30030,ITM-BIO-003,Wildlife survey specimen lot,biological_sample,11,sealed_lot,962.73,VLN,2019-09-12,emergency,Field Programmes,completed
PO-2019-00023,1,2019-09-04,FCL-1019,BP-30052,ITM-MON-001,Acoustic monitoring kit,monitoring_equipment,1,kit,1811.11,AVL,2019-09-24,expedited,Cold Chain,completed
PO-2019-00024,1,2019-09-04,FCL-1011,BP-30029,ITM-CON-001,Operational consulting service,consulting_service,1,service,4997.25,VLN,2019-10-04,ordinary,Agricultural Distribution,completed
PO-2019-00025,1,2019-09-05,FCL-1007,BP-30078,ITM-OTH-001,General facility material,other,21,unit,582.65,VLN,2019-10-07,expedited,General Operations,completed
PO-2019-00026,1,2019-09-06,FCL-1016,BP-30028,ITM-LAB-002,Sample preparation material pack,laboratory_material,45,pack,"563,83",TMB,2019-10-04,expedited,Agricultural Distribution,completed
PO-2019-00027,1,2019-09-06,FCL-1030,BP-30022,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,48,pallet,1281.86,KRN,2019-09-14,ordinary,Clinical Services,completed
PO-2019-00028,1,2019-09-06,FCL-1011,BP-30042,ITM-OFF-001,Office supply case,office_supply,39,case,91.08,VLN,2019-10-17,emergency,Clinical Services,completed
PO-2019-00029,1,2019-09-06,FCL-1010,BP-30014,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,22,pallet,1281.23,VLN,2019-09-30,expedited,Facilities,completed
PO-2019-00030,1,2019-09-09,FCL-1012,BP-30008,ITM-MEQ-001,Diagnostic equipment unit,medical_equipment,7,unit,17341.30,VLN,2019-09-16,ordinary,Field Programmes,completed
PO-2019-00031,1,2019-09-09,FCL-1007,BP-30078,ITM-BIO-003,Wildlife survey specimen lot,biological_sample,3,sealed_lot,1015.31,VLN,2019-09-23,restricted,Clinical Programmes,completed
PO-2019-00032,1,2019-09-10,FCL-1011,BP-30062,ITM-MED-001,General clinical consumable case,medical_consumables,53,case,131.14,VLN,2019-09-30,ordinary,Field Programmes,completed
PO-2019-00033,1,2019-09-11,FCL-1010,BP-30015,ITM-OFF-001,Office supply case,office_supply,70,case,94.67,VLN,2019-10-12,expedited,Cold Chain,completed
PO-2019-00034,1,2019-09-11,FCL-1020,BP-30054,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2850.25,TMB,2019-10-10,ordinary,General Operations,completed
PO-2019-00035,1,2019-09-12,FCL-1011,BP-30012,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,47,pallet,1512.60,VLN,2019-09-26,ordinary,Clinical Services,completed
PO-2019-00036,1,2019-09-12,FCL-1011,BP-30079,ITM-CON-001,Operational consulting service,consulting_service,1,service,5321.01,VLN,2019-10-04,ordinary,Field Programmes,completed
PO-2019-00037,1,2019-09-12,FCL-1007,BP-30078,ITM-RES-001,Applied research contract,research_contract,1,contract,17637.07,VLN,2019-10-06,restricted,Agricultural Distribution,completed
PO-2019-00038,1,2019-09-13,FCL-1002,BP-30020,ITM-OTH-001,General facility material,other,15,unit,604.92,NDH,2019-10-02,ordinary,Agricultural Distribution,completed
PO-2019-00039,1,2019-09-13,FCL-1013,BP-30032,ITM-RES-001,Applied research contract,research_contract,1,contract,17513.17,NDH,2019-10-09,ordinary,General Operations,completed
PO-2019-00040,1,2019-09-14,FCL-1019,BP-30001,ITM-LEG-001,Regulatory legal service,legal_service,1,service,"4239,29",AVL,2019-10-24,ordinary,General Operations,completed
PO-2019-00041,1,2019-09-14,FCL-1019,BP-30018,ITM-LAB-002,Sample preparation material pack,laboratory_material,33,pack,533.79,AVL,2019-09-30,expedited,Clinical Services,completed
PO-2019-00042,1,2019-09-15,FCL-1016,BP-30050,ITM-CSE-002,Insulated transport container,cold_storage_equipment,10,unit,3571.35,TMB,2019-10-17,emergency,Field Programmes,completed
PO-2019-00043,1,2019-09-17,FCL-1020,BP-30052,ITM-LAB-001,Laboratory assay material pack,laboratory_material,24 pack,pack,776.80,TMB,2019-10-03,restricted,Clinical Services,completed
PO-2019-00044,1,2019-09-17,FCL-1020,BP-30066,ITM-OFF-001,Office supply case,office_supply,58,case,88.21,TMB,2019-10-12,ordinary,Research Services,completed
PO-2019-00045,1,2019-09-17,FCL-1007,BP-30078,ITM-MON-001,Acoustic monitoring kit,monitoring_equipment,17,kit,1909.28,VLN,2019-09-28,expedited,,completed
PO-2019-00046,1,2019-09-17,FCL-1025,BP-30079,ITM-RES-001,Applied research contract,research_contract,1,contract,18721.30,NDH,2019-10-26,ordinary,General Operations,completed
PO-2019-00047,1,2019-09-18,FCL-1007,BP-30021,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4051.33,AVL,2019-10-26,restricted,Research Services,completed
PO-2019-00048,1,2019-09-19,FCL-1011,BP-30029,ITM-MON-003,Telemetry maintenance kit,monitoring_equipment,24,kit,800.19,VLN,2019-09-28,expedited,Research Services,completed
PO-2019-00049,1,2019-09-19,FCL-1007,BP-30078,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,3685.15,VLN,2019-10-06,restricted,Agricultural Distribution,completed
PO-2019-00050,1,2019-09-21,FCL-1011,BP-30064,ITM-CSE-002,Insulated transport container,cold_storage_equipment,18 unit,unit,3249.60,VLN,2019-10-29,ordinary,Agricultural Distribution,completed
PO-2019-00051,1,2019-09-21,FCL-1007,BP-30078,ITM-LAB-001,Laboratory assay material pack,laboratory_material,8,pack,788.25,VLN,2019-10-16,ordinary,Field Programmes,completed
PO-2019-00052,1,2019-09-22,FCL-1011,BP-30009,ITM-LAB-002,Sample preparation material pack,laboratory_material,48,pack,463.37,VLN,2019-10-27,ordinary,Cold Chain,completed
PO-2019-00053,1,2019-09-22,FCL-1011,BP-30056,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2937.86,VLN,2019-10-22,ordinary,Clinical Services,completed
PO-2019-00054,1,2019-09-22,FCL-1004,BP-30002,ITM-CON-001,Operational consulting service,consulting_service,1,service,6342.62,KRN,2019-10-26,ordinary,Agricultural Distribution,completed
PO-2019-00055,1,2019-10-20,FCL-1019,BP-30078,ITM-MON-002,Field camera and sensor kit,monitoring_equipment,26,kit,2357.10,AVL,2019-11-06,ordinary,Field Operations,completed
PO-2019-00056,1,2019-10-26,FCL-1024,BP-30057,ITM-MON-002,Field camera and sensor kit,monitoring_equipment,21,kit,2230.40,KRN,2019-11-29,ordinary,Facilities,completed
PO-2019-00057,1,2019-10-29,FCL-1010,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,48,case,150.96,VLN,2019-11-28,restricted,Clinical Programmes,completed
PO-2019-00058,1,2019-11-15,FCL-1028,BP-30072,ITM-COM-001,Secure communication service,communication_service,1,service,1332.06,AVL,2019-12-14,ordinary,Facilities,completed
PO-2019-00059,1,2019-11-16,FCL-1007,BP-30078,ITM-MED-002,Sterile administration supplies,medical_consumables,63,case,235.36,VLN,2019-11-30,ordinary,Agricultural Distribution,completed
PO-2019-00060,1,2019-11-27,FCL-1010,BP-30041,ITM-PRO-001,Field protective equipment case,protective_equipment,63,case,483.96,VLN,2019-12-28,ordinary,General Operations,delayed
PO-2019-00061,1,2019-12-18,FCL-1008,BP-30056,ITM-OFF-001,Office supply case,office_supply,63,case,105.09,VLN,2020-01-20,ordinary,Agricultural Distribution,completed
PO-2020-00001,1,2020-01-06,FCL-1015,BP-30030,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,17,unit,5405.38,NDH,2020-02-13,expedited,Facilities,completed
PO-2020-00002,1,2020-01-13,FCL-1015,BP-30044,ITM-OFF-001,Office supply case,office_supply,65,case,98.36,AVL,2020-02-11,restricted,Facilities,completed
PO-2020-00003,1,2020-01-14,FCL-1010,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,6,case,164.73,VLN,2020-01-26,ordinary,Clinical Programmes,completed
PO-2020-00004,1,2020-01-15,FCL-1021,BP-30014,ITM-AGR-001,Durian produce pallet,agricultural_product,21,pallet,1845.63,KRN,2020-01-30,ordinary,Facilities,completed
PO-2020-00005,1,2020-01-18,FCL-1011,BP-30056,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,15,unit,13900.72,VLN,2020-01-25,ordinary,General Operations,completed
PO-2020-00006,1,2020-01-23,FCL-1007,BP-30078,ITM-MON-003,Telemetry maintenance kit,monitoring_equipment,19,kit,916.28,VLN,2020-02-04,ordinary,Clinical Services,completed
PO-2020-00007,1,2020-02-10,FCL-1010,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,36,case,166.03,VLN,2020-03-01,ordinary,Clinical Programmes,completed
PO-2020-00008,1,2020-02-15,FCL-1030,BP-30052,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,30,pallet,1421.93,KRN,2020-03-10,ordinary,Field Programmes,completed
PO-2020-00009,1,2020-03-01,FCL-1006,BP-30038,ITM-AGR-001,Durian produce pallet,agricultural_product,21,pallet,1913.86,TMB,2020-04-11,ordinary,Facilities,completed
PO-2020-00010,1,2020-03-04,FCL-1011,BP-30028,ITM-CSE-002,Insulated transport container,cold_storage_equipment,24,unit,3020.79,VLN,2020-04-14,ordinary,Field Programmes,completed
PO-2020-00011,1,2020-03-15,FCL-1010,BP-30001,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2841.21,VLN,2020-03-30,ordinary,Clinical Services,completed
PO-2020-00012,1,2020-03-22,FCL-1030,BP-30078,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,15,unit,13899.59,AVL,2020-03-30,ordinary,Field Operations,completed
PO-2020-00013,1,2020-04-01,FCL-1021,BP-30012,ITM-MED-002,Sterile administration supplies,medical_consumables,64,case,229.80,KRN,2020-05-11,ordinary,Cold Chain,completed
PO-2020-00014,1,2020-04-01,FCL-1020,BP-30014,ITM-MED-002,Sterile administration supplies,medical_consumables,5,case,298.02,TMB,2020-04-29,emergency,Agricultural Distribution,completed
PO-2020-00015,1,2020-04-01,FCL-1029,BP-30068,ITM-MEQ-001,Diagnostic equipment unit,medical_equipment,15,unit,20513.03,VLN,2020-05-01,ordinary,Research Services,completed
PO-2020-00016,1,2020-04-02,FCL-1030,BP-30029,ITM-OFF-001,Office supply case,office_supply,77,case,89.09,KRN,2020-04-29,ordinary,Agricultural Distribution,completed
PO-2020-00017,1,2020-04-02,FCL-1025,BP-30046,ITM-COM-001,Secure communication service,communication_service,1,service,1298.61,NDH,2020-05-01,ordinary,Clinical Services,completed
PO-2020-00018,1,2020-04-02,FCL-1020,BP-30032,ITM-GRA-001,Programme grant transfer,grant,1,grant,28663.74,TMB,2020-05-07,ordinary,Field Programmes,completed
PO-2020-00019,1,2020-04-03,FCL-1015,BP-30011,ITM-MON-002,Field camera and sensor kit,monitoring_equipment,4,kit,2240.56,AVL,2020-05-06,restricted,Research Services,completed
PO-2020-00020,1,2020-04-04,FCL-1007,BP-30040,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4349.52,AVL,2020-04-20,emergency,Agricultural Distribution,completed
PO-2020-00021,1,2020-04-04,FCL-1011,BP-30059,ITM-OTH-001,General facility material,other,2,unit,605.04,VLN,2020-04-26,ordinary,Agricultural Distribution,completed
PO-2020-00022,1,2020-04-05,FCL-1012,BP-30069,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,47,pallet,1481.14,VLN,2020-05-15,ordinary,Field Programmes,completed
PO-2020-00023,1,2020-04-05,FCL-1004,BP-30035,ITM-OTH-001,General facility material,other,4,unit,596.04,KRN,2020-05-06,expedited,Research Services,completed
PO-2020-00024,1,2020-04-06,FCL-1030,BP-30058,ITM-GRA-001,Programme grant transfer,grant,1,grant,28081.79,KRN,2020-04-17,ordinary,Research Services,completed
PO-2020-00025,1,2020-04-06,FCL-1020,BP-30073,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,3026.71,TMB,2020-05-06,expedited,Agricultural Distribution,completed
PO-2020-00026,1,2020-04-07,FCL-1011,BP-30077,ITM-OFF-001,Office supply case,office_supply,30,case,107.16,VLN,2020-04-23,emergency,Field Programmes,completed
PO-2020-00027,1,2020-04-08,FCL-1015,BP-30002,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2748.26,AVL,2020-05-01,expedited,Clinical Services,completed
PO-2020-00028,1,2020-04-09,FCL-1029,BP-30037,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,4034.16,VLN,2020-05-14,restricted,General Operations,completed
PO-2020-00029,1,2020-04-09,FCL-1025,BP-30042,ITM-OTH-001,General facility material,other,7,unit,651.82,AVL,2020-04-24,ordinary,Agricultural Distribution,completed
PO-2020-00030,1,2020-04-09,FCL-1003,BP-30043,ITM-CON-001,Operational consulting service,consulting_service,1,service,5041.98,TMB,2020-04-22,emergency,Agricultural Distribution,completed
PO-2020-00031,1,2020-04-09,FCL-1014,BP-30037,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,38,pallet,1345.84,TMB,2020-04-24,restricted,Research Services,completed
PO-2020-00032,1,2020-04-11,FCL-1029,BP-30013,ITM-PRO-001,Field protective equipment case,protective_equipment,86,case,468.62,VLN,2020-05-03,ordinary,Facilities,completed
PO-2020-00033,1,2020-04-11,FCL-1001,BP-30022,ITM-RES-001,Applied research contract,research_contract,1,contract,18465.03,TMB,2020-05-17,expedited,Clinical Services,completed
PO-2020-00034,1,2020-04-12,FCL-1011,BP-30056,ITM-GRA-001,Programme grant transfer,grant,1,grant,25726.91,VLN,2020-05-02,ordinary,General Operations,completed
PO-2020-00035,1,2020-04-13,FCL-1011,BP-30075,ITM-BIO-001,Temperature-sensitive clinical reference material,biological_sample,8,sealed_lot,4676.53,VLN,2020-04-24,emergency,General Operations,completed
PO-2020-00036,1,2020-04-13,FCL-1001,BP-30079,ITM-PRO-002,Cold-handling protective supplies,protective_equipment,83,case,631.94,TMB,2020-05-19,ordinary,Cold Chain,completed
PO-2020-00037,1,2020-04-14,FCL-1014,BP-30069,ITM-AGR-001,Durian produce pallet,agricultural_product,37,pallet,1887.51,NDH,2020-05-01,ordinary,Clinical Services,completed
PO-2020-00038,1,2020-04-15,FCL-1006,BP-30022,ITM-MED-001,General clinical consumable case,medical_consumables,11,case,162.24,TMB,2020-05-04,expedited,Cold Chain,completed
PO-2020-00039,1,2020-04-16,FCL-1023,BP-30054,ITM-OTH-001,General facility material,other,20,unit,588.29,AVL,2020-05-07,restricted,Agricultural Distribution,completed
PO-2020-00040,1,2020-04-16,FCL-1007,BP-30078,ITM-COM-001,Secure communication service,communication_service,1,service,1640.00,VLN,2020-05-27,expedited,General Operations,completed
PO-2020-00041,1,2020-04-17,FCL-1015,BP-30039,ITM-LAB-001,Laboratory assay material pack,laboratory_material,20,pack,694.49,AVL,2020-05-03,ordinary,Research Services,completed
PO-2020-00042,1,2020-04-18,FCL-1011,BP-30005,ITM-CON-001,Operational consulting service,consulting_service,1,service,4976.70,VLN,2020-05-22,restricted,Facilities,completed
PO-2020-00043,1,2020-04-19,FCL-1029,BP-30009,ITM-LAB-002,Sample preparation material pack,laboratory_material,4,pack,485.68,VLN,2020-05-30,ordinary,Clinical Services,completed
PO-2020-00044,1,2020-04-20,FCL-1021,BP-30080,ITM-AGR-001,Durian produce pallet,agricultural_product,7,pallet,1803.07,KRN,2020-05-05,ordinary,Cold Chain,completed
PO-2020-00045,1,2020-04-20,FCL-1007,BP-30078,ITM-LAB-001,Laboratory assay material pack,laboratory_material,18,pack,725.64,VLN,2020-05-15,ordinary,General Operations,completed
PO-2020-00046,1,2020-04-20,FCL-1010,BP-30050,ITM-LAB-002,Sample preparation material pack,laboratory_material,17,pack,"560,35",VLN,2020-05-18,expedited,Agricultural Distribution,completed
PO-2020-00047,1,2020-04-21,FCL-1011,BP-30001,ITM-BIO-001,Temperature-sensitive clinical reference material,biological_sample,11,sealed_lot,4315.04,VLN,2020-05-05,ordinary,Cold Chain,completed
PO-2020-00048,1,2020-04-21,FCL-1011,BP-30068,ITM-OFF-001,Office supply case,office_supply,45,case,99.22,VLN,2020-05-16,ordinary,Cold Chain,completed
PO-2020-00049,1,2020-04-23,FCL-1007,BP-30038,ITM-MON-001,Acoustic monitoring kit,monitoring_equipment,21,kit,1997.33,AVL,2020-05-11,expedited,Cold Chain,completed
PO-2020-00050,1,2020-04-23,FCL-1003,BP-30033,ITM-BIO-001,Temperature-sensitive clinical reference material,biological_sample,14,sealed_lot,4767.41,TMB,2020-05-30,restricted,General Operations,delayed
PO-2020-00051,1,2020-05-20,FCL-1007,BP-30078,ITM-PRO-001,Field protective equipment case,protective_equipment,15,case,458.13,VLN,2020-06-11,ordinary,Cold Chain,completed
PO-2020-00052,1,2020-05-21,FCL-1007,BP-30078,ITM-RES-001,Applied research contract,research_contract,1,contract,15895.90,VLN,2020-07-01,ordinary,Clinical Services,completed
PO-2020-00053,1,2020-05-24,FCL-1019,BP-30078,ITM-CSE-002,Insulated transport container,cold_storage_equipment,12,unit,3335.64,AVL,2020-06-10,restricted,Field Operations,completed
PO-2020-00054,1,2020-06-04,FCL-1029,BP-30044,ITM-PRO-002,Cold-handling protective supplies,PROTECTIVE_EQUIPMENT,52,case,685.76,VLN,2020-07-13,ordinary,Cold Chain,completed
PO-2020-00055,1,2020-06-15,FCL-1014,BP-30073,ITM-LAB-002,Sample preparation material pack,laboratory_material,11,pack,495.84,TMB,2020-07-17,ordinary,Research Services,completed
PO-2020-00056,1,2020-07-27,FCL-1003,BP-30003,ITM-OTH-001,General facility material,other,8,unit,611.09,KRN,2020-08-18,ordinary,Facilities,completed
PO-2020-00057,1,2020-08-08,FCL-1010,BP-30034,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,18,unit,5197.71,VLN,2020-08-18,emergency,Field Programmes,completed
PO-2020-00058,1,2020-08-17,FCL-1029,BP-30005,ITM-CON-001,Operational consulting service,consulting_service,1,service,4967.44,VLN,2020-09-01,ordinary,Research Services,completed
PO-2020-00059,1,2020-09-17,FCL-1012,BP-30015,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,"4045,45",VLN,2020-10-13,ordinary,Field Programmes,cancelled
PO-2020-00060,1,2020-09-25,FCL-1011,BP-30029,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,3886.12,VLN,2020-11-05,ordinary,General Operations,completed
PO-2020-00061,1,2020-09-25,FCL-1011,BP-30046,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,6,unit,5994.69,VLN,2020-10-17,ordinary,General Operations,completed
PO-2020-00062,1,2020-09-29,FCL-1012,BP-30059,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,21,unit,5095.41,VLN,2020-10-28,ordinary,General Operations,completed
PO-2020-00063,1,2020-10-09,FCL-1013,BP-30021,ITM-RES-001,Applied research contract,research_contract,1,contract,20830.71,NDH,2020-11-12,expedited,Research Services,completed
PO-2020-00064,1,2020-11-12,FCL-1007,BP-30028,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,3529.88,AVL,2020-12-22,ordinary,Cold Chain,completed
PO-2020-00065,1,2020-11-27,FCL-1019,BP-30078,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,8,unit,5795.41,AVL,2020-12-15,ordinary,Cold Chain,completed
PO-2020-00066,1,2020-11-27,FCL-1020,BP-30055,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,4464.59,AVL,2020-12-11,emergency,Agricultural Distribution,completed
PO-2020-00067,1,2020-11-27,FCL-1005,BP-30073,ITM-OFF-001,Office supply case,office_supply,86,case,101.64,TMB,2020-12-24,ordinary,Agricultural Distribution,completed
PO-2020-00068,1,2020-12-01,FCL-1011,BP-30065,ITM-LAB-002,Sample preparation material pack,laboratory_material,32,pack,559.39,VLN,2020-12-09,ordinary,Cold Chain,completed
PO-2020-00069,1,2020-12-02,FCL-1011,BP-30047,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,39,pallet,1225.92,VLN,2021-01-05,restricted,Clinical Services,completed
PO-2020-00070,1,2020-12-09,FCL-1015,BP-30033,ITM-CSE-002,Insulated transport container,cold_storage_equipment,24,unit,3159.12,NDH,2020-12-26,ordinary,Field Programmes,completed
PO-2020-00071,1,2020-12-26,FCL-1010,BP-30064,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,1,unit,5695.99,VLN,2021-01-22,emergency,Field Programmes,completed
PO-2021-00001,1,2021-01-05,FCL-1023,BP-30069,ITM-MED-001,General clinical consumable case,medical_consumables,2,case,157.93,NDH,2021-01-29,restricted,Research Services,completed
PO-2021-00002,1,2021-02-08,FCL-1011,BP-30056,ITM-LAB-001,Laboratory assay material pack,laboratory_material,41,pack,804.40,VLN,2021-02-23,ordinary,Clinical Services,completed
PO-2021-00003,1,2021-02-20,FCL-1010,BP-30053,ITM-MON-001,Acoustic monitoring kit,monitoring_equipment,26,kit,1966.70,VLN,2021-03-22,expedited,Agricultural Distribution,completed
PO-2021-00004,1,2021-03-01,FCL-1007,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,60,case,146.88,VLN,2021-03-27,expedited,Clinical Programmes,completed
PO-2021-00005,1,2021-03-07,FCL-1030,BP-30078,ITM-MON-003,Telemetry maintenance kit,monitoring_equipment,29,kit,999.58,AVL,2021-03-28,restricted,Field Operations,completed
PO-2021-00006,1,2021-03-19,FCL-1016,BP-30054,ITM-CON-001,Operational consulting service,consulting_service,1,service,6111.58,TMB,2021-04-20,ordinary,Agricultural Distribution,completed
PO-2021-00007,1,2021-03-25,FCL-1019,BP-30045,ITM-MEQ-001,Diagnostic equipment unit,medical_equipment,14,unit,19736.62,AVL,2021-04-19,restricted,Research Services,completed
PO-2021-00008,1,2021-04-06,FCL-1007,BP-30078,ITM-LAB-001,Laboratory assay material pack,laboratory_material,14,pack,755.49,VLN,2021-05-08,ordinary,Research Services,completed
PO-2021-00009,1,2021-05-01,FCL-1010,BP-30026,ITM-MON-003,Telemetry maintenance kit,monitoring_equipment,19,kit,984.40,VLN,2021-05-27,expedited,Clinical Services,completed
PO-2021-00010,1,2021-05-02,FCL-1007,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,66,case,150.22,VLN,2021-05-09,emergency,Agricultural Distribution,completed
PO-2021-00011,1,2021-05-02,FCL-1019,BP-30078,ITM-PRO-001,Field protective equipment case,protective_equipment,46,case,422.83,AVL,2021-06-04,restricted,Field Operations,completed
PO-2021-00012,1,2021-05-03,FCL-1011,BP-30059,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,7,unit,14698.78,VLN,2021-06-07,ordinary,Facilities,completed
PO-2021-00013,1,2021-05-03,FCL-1025,BP-30049,ITM-AGR-001,Durian produce pallet,agricultural_product,23,pallet,2093.96,AVL,2021-05-19,restricted,General Operations,completed
PO-2021-00014,1,2021-05-03,FCL-1009,BP-30039,ITM-LAB-002,Sample preparation material pack,laboratory_material,4,pack,459.53,NDH,2021-06-03,restricted,Facilities,pending
PO-2021-00015,1,2021-05-03,FCL-1019,BP-30038,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,20,unit,14603.57,AVL,2021-05-25,ordinary,Cold Chain,completed
PO-2021-00016,1,2021-05-03,FCL-1009,BP-30072,ITM-BIO-001,Temperature-sensitive clinical reference material,biological_sample,12,sealed_lot,5546.31,VLN,2021-05-20,expedited,General Operations,completed
PO-2021-00017,1,2021-05-05,FCL-1010,BP-30011,ITM-MON-001,Acoustic monitoring kit,monitoring_equipment,8,kit,1757.86,VLN,2021-05-29,ordinary,Facilities,completed
PO-2021-00018,1,2021-05-05,FCL-1019,BP-30053,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,15,unit,4985.33,AVL,2021-06-13,expedited,Clinical Services,completed
PO-2021-00019,1,2021-05-05,FCL-1011,BP-30039,ITM-MED-002,Sterile administration supplies,medical_consumables,10,case,268.70,VLN,2021-06-15,expedited,Research Services,completed
PO-2021-00020,1,2021-05-05,FCL-1002,BP-30079,ITM-PRO-001,Field protective equipment case,protective_equipment,1,case,478.91,VLN,2021-05-21,ordinary,Agricultural Distribution,completed
PO-2021-00021,1,2021-05-06,FCL-1009,BP-30022,ITM-MED-001,General clinical consumable case,medical_consumables,9,case,144.70,VLN,2021-05-28,expedited,Field Programmes,cancelled
PO-2021-00022,1,2021-05-06,FCL-1020,BP-30075,ITM-AGE-001,Orchard maintenance equipment,AGRICULTURAL_EQUIPMENT,21,unit,5282.29,TMB,2021-06-06,ordinary,Facilities,completed
PO-2021-00023,1,2021-05-08,FCL-1010,BP-30066,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,3848.24,VLN,2021-06-01,restricted,Clinical Services,completed
PO-2021-00024,1,2021-05-08,FCL-1011,BP-30035,ITM-OFF-001,Office supply case,office_supply,47,case,100.93,VLN,2021-06-05,ordinary,Cold Chain,completed
PO-2021-00025,1,2021-05-08,FCL-1030,BP-30054,ITM-AGR-001,Durian produce pallet,agricultural_product,16,pallet,2090.18,KRN,2021-05-24,ordinary,General Operations,completed
PO-2021-00026,1,2021-05-08,FCL-1011,BP-30001,ITM-MED-001,General clinical consumable case,medical_consumables,29,case,138.34,VLN,2021-05-29,ordinary,Cold Chain,completed
PO-2021-00027,1,2021-05-08,FCL-1010,BP-30018,ITM-OFF-001,Office supply case,office_supply,17,case,106.56,VLN,2021-05-21,expedited,Agricultural Distribution,completed
PO-2021-00028,1,2021-05-09,FCL-1010,BP-30058,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,21,unit,6013.42,VLN,2021-06-19,expedited,Facilities,completed
PO-2021-00029,1,2021-05-10,FCL-1015,BP-30012,ITM-MED-001,General clinical consumable case,medical_consumables,46,case,166.26,NDH,2021-05-22,emergency,Cold Chain,completed
PO-2021-00030,1,2021-05-10,FCL-1001,BP-30057,ITM-PRO-001,Field protective equipment case,protective_equipment,17,case,460.35,TMB,2021-06-16,expedited,Research Services,completed
PO-2021-00031,1,2021-05-11,FCL-1007,BP-30078,ITM-BIO-003,Wildlife survey specimen lot,biological_sample,5,sealed_lot,1115.60,VLN,2021-05-27,expedited,Clinical Programmes,completed
PO-2021-00032,1,2021-05-11,FCL-1020,BP-30018,ITM-MEQ-001,Diagnostic equipment unit,medical_equipment,17,unit,17957.31,TMB,2021-06-07,ordinary,Field Programmes,completed
PO-2021-00033,1,2021-05-11,FCL-1011,BP-30009,ITM-RES-001,Applied research contract,research_contract,1,contract,18807.40,VLN,2021-05-25,restricted,Cold Chain,completed
